Prediction_ID,Timestamp,Machine_ID,Product_ID,Product_Type,Operator_ID,Air_Temp_C,Process_Temp_C,Vibration_Hz,Network_Latency_ms,Torque_Nm,Tool_Wear_min,Rolling_Vibration_1h,Temp_Diff,Image_Path,Defect_Class,Is_Defective
0339220b-969f-4076-9507-5a2e50846ed4,2023-01-01 08:00:00,M-007,PRD-000001,M,OP-08,22.20617216533204,34.35479417238519,29.550834635174922,12.512170893139508,42.477948550998875,120,29.550834635174922,12.148622007053152,s3://manufacturing-quality-images/images/M-007/PRD-000001.jpg,Good,False
2b35b2f0-8940-4cb1-a42f-e29431bfef40,2023-01-01 08:15:00,M-004,PRD-000002,M,OP-13,26.620488311350663,38.578851459300324,38.03253035533706,18.661501865167,36.22070306622788,161,38.03253035533706,11.958363147949662,s3://manufacturing-quality-images/images/M-004/PRD-000002.jpg,Surface Defect,True
701be612-fda3-4db7-9292-f692ba92f074,2023-01-01 08:30:00,M-008,PRD-000003,L,OP-04,25.94671706392728,33.003705407900306,33.44161083483461,11.871883553216758,38.95606621631031,59,33.44161083483461,7.056988343973025,s3://manufacturing-quality-images/images/M-008/PRD-000003.jpg,Good,False
ad9fb721-1ea6-4468-bf77-b0fe892e0571,2023-01-01 08:45:00,M-005,PRD-000004,L,OP-10,23.85121053608581,36.23095525068793,36.09819408165604,23.31585013446417,34.328736484219704,236,36.09819408165604,12.379744714602118,s3://manufacturing-quality-images/images/M-005/PRD-000004.jpg,Good,False
7142f4ef-6952-4039-a0ae-06fe19d696e1,2023-01-01 09:00:00,M-007,PRD-000005,L,OP-05,26.282348555107312,40.327095039582325,32.56170711129799,25.290095276769065,34.54179976098884,178,31.056270873236457,14.044746484475013,s3://manufacturing-quality-images/images/M-007/PRD-000005.jpg,Good,False
5675dded-a9cf-4dbd-ae45-663cb6b6ea3f,2023-01-01 09:15:00,M-010,PRD-000006,H,OP-02,24.107527856186245,37.04262135805154,25.359945802690373,22.890863973437202,44.54472999688035,4,25.359945802690373,12.935093501865296,s3://manufacturing-quality-images/images/M-010/PRD-000006.jpg,Good,False
a1e23c02-0726-4bef-8ab5-56df8536b578,2023-01-01 09:30:00,M-003,PRD-000007,M,OP-15,25.485474162232933,36.76123702715748,42.208385817223004,46.40126277450018,43.83756951100356,239,42.208385817223004,11.275762864924545,s3://manufacturing-quality-images/images/M-003/PRD-000007.jpg,Good,False
8b6da439-b934-4c03-a4f4-d30cd8a34f4a,2023-01-01 09:45:00,M-007,PRD-000008,M,OP-12,24.276536459653162,34.97297166119147,33.658542418738136,9.063245093421902,46.02672484713341,201,31.923694721737018,10.69643520153831,s3://manufacturing-quality-images/images/M-007/PRD-000008.jpg,Good,False
36146544-f524-49a8-b265-36875a410773,2023-01-01 10:00:00,M-008,PRD-000009,L,OP-13,24.82005530669906,37.265522912133726,35.22104721086772,8.15075316243454,29.190960680932868,159,34.331329022851165,12.445467605434665,s3://manufacturing-quality-images/images/M-008/PRD-000009.jpg,Good,False
34db29a5-5bc0-41f5-8ef8-809ade96d1e7,2023-01-01 10:15:00,M-005,PRD-000010,L,OP-01,23.637704638348534,29.65151450859286,23.888719137820743,19.113035632693492,49.19152758075753,11,29.99345660973839,6.013809870244327,s3://manufacturing-quality-images/images/M-005/PRD-000010.jpg,Good,False
4ae44c3c-3252-4b53-95cd-61cd883a3fc4,2023-01-01 10:30:00,M-004,PRD-000011,L,OP-09,23.860273556798408,35.655333150824156,37.842487299475,18.55346866351605,39.9399588168158,179,37.937508827406035,11.795059594025748,s3://manufacturing-quality-images/images/M-004/PRD-000011.jpg,Good,False
65e57bf7-a9ad-4c44-9b32-ff157a1f8301,2023-01-01 10:45:00,M-008,PRD-000012,L,OP-15,25.81614427142894,34.44406015232615,31.006339535512332,15.703258834783682,41.44926602438419,140,33.22299919373822,8.627915880897213,s3://manufacturing-quality-images/images/M-008/PRD-000012.jpg,Good,False
37cdb477-90bf-4893-9583-1bf6e1233796,2023-01-01 11:00:00,M-008,PRD-000013,H,OP-02,26.057168450141873,40.0552910498268,32.35540900082254,5.0654404133076465,45.13793582207462,84,33.006101645509304,13.998122599684926,s3://manufacturing-quality-images/images/M-008/PRD-000013.jpg,Good,False
d5270e23-9f9f-419d-8de6-8171e7be5f17,2023-01-01 11:15:00,M-003,PRD-000014,M,OP-06,24.378813827829084,36.42515151912828,38.86535556754687,17.153247324038357,46.60412875082432,239,40.53687069238494,12.046337691299193,s3://manufacturing-quality-images/images/M-003/PRD-000014.jpg,Scratch,True
7d3e53e8-795b-4d78-abad-8529bc3886ac,2023-01-01 11:30:00,M-006,PRD-000015,L,OP-01,22.711689633597185,38.732358006275234,33.04857842895687,45.500796744356165,41.00125046583417,181,33.04857842895687,16.02066837267805,s3://manufacturing-quality-images/images/M-006/PRD-000015.jpg,Good,False
e6c0a9e6-9a50-48cd-985d-624288a9599b,2023-01-01 11:45:00,M-005,PRD-000016,H,OP-01,28.706870567366845,42.67391327428353,32.151069866280665,11.110000788831536,58.194131198856496,116,30.712661028585813,13.967042706916683,s3://manufacturing-quality-images/images/M-005/PRD-000016.jpg,Good,False
